source,target,weight,source_type,target_type
4831,3193,-15.624325242204819,Nematocyte-related,Neural-related
4785,3289,15.616146555641313,Neural-related,Neural-related
4981,6078,-15.585643500253756,Nematocyte-related,Epidermal/Muscle-related
4925,3751,15.569504575510168,Epidermal/Muscle-related,Epidermal/Muscle-related
4855,464,-15.524035583303235,Nematocyte-related,Epidermal/Muscle-related
4771,3193,15.519759527060188,Nematocyte-related,Neural-related
4972,3289,-15.518469678886317,Nematocyte-related,Neural-related
4925,6608,-15.507531701833713,Epidermal/Muscle-related,Epidermal/Muscle-related
4760,3289,-15.506775447188307,Neural-related,Neural-related
4760,838,-15.498129228119069,Neural-related,Epidermal/Muscle-related
4855,1877,15.493966086394147,Nematocyte-related,Nematocyte-related
4855,4229,15.486964146927438,Nematocyte-related,Nematocyte-related
4855,4334,-15.47937349686041,Nematocyte-related,Nematocyte-related
4855,3193,15.468264338467959,Nematocyte-related,Neural-related
4855,1275,15.459172180999719,Nematocyte-related,Epidermal/Muscle-related
4981,5488,15.450338231509265,Nematocyte-related,Neural-related
4771,1877,15.446201249526954,Nematocyte-related,Nematocyte-related
4981,4727,15.445344587453702,Nematocyte-related,Nematocyte-related
4981,7050,-15.437572766482061,Nematocyte-related,Epidermal/Muscle-related
4855,6360,15.431371316445304,Nematocyte-related,Nematocyte-related
4699,812,-15.428797919621735,Epidermal/Muscle-related,Nematocyte-related
4821,3015,-15.415500873186087,Epidermal/Muscle-related,Nematocyte-related
4821,79,-15.410280820834565,Epidermal/Muscle-related,Nematocyte-related
4821,796,-15.39899301814348,Epidermal/Muscle-related,Epidermal/Muscle-related
4855,2918,-15.396752471888071,Nematocyte-related,Nematocyte-related
4855,6514,-15.388007694169476,Nematocyte-related,Epidermal/Muscle-related
4863,3289,-15.380931199186692,Nematocyte-related,Neural-related
4771,2250,15.3476139814482,Nematocyte-related,Neural-related
4760,5624,-15.33199616758633,Neural-related,Epidermal/Muscle-related
4855,6223,15.323457503687814,Nematocyte-related,Epidermal/Muscle-related
4925,7050,15.321581260076572,Epidermal/Muscle-related,Epidermal/Muscle-related
4771,3288,15.30740706733646,Nematocyte-related,Neural-related
4855,796,-15.303694847027383,Nematocyte-related,Epidermal/Muscle-related
4981,3988,15.298566591680977,Nematocyte-related,Epidermal/Muscle-related
4855,981,15.289765760204274,Nematocyte-related,Epidermal/Muscle-related
4925,812,15.276848953348267,Epidermal/Muscle-related,Nematocyte-related
4771,693,-15.27581638854531,Nematocyte-related,Epidermal/Muscle-related
4925,6168,-15.263362996090626,Epidermal/Muscle-related,Nematocyte-related
4981,302,15.25712928908706,Nematocyte-related,Epidermal/Muscle-related
4821,4334,-15.25187342700981,Epidermal/Muscle-related,Nematocyte-related
